published_date,published_title,url,file_name
2023-11-09,187-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/73/E7/C5/27/2D5BB810D8191BB8DC0D8AA8/OC 187-2023 PRE Alteração na Regra de Cadastro Automático de Vencimentos de DAP (PT).pdf,2023-11-09|187-2023-PRE-Ofício Circular.pdf
2023-11-09,107-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/78/67/00/8C/C05BB810F2AB77B8AC094EA8/CE 107-2023-VNC Lançamento das sessões de Renda Fixa Trademate_PT.pdf,2023-11-09|107-2023-VNC-Comunicado Externo.pdf
2023-11-09,058-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/43/00/01/01/906BB810F2AB77B8AC094EA8/CE 058-2023-VPC Imposto de Renda da Pessoa Física (IRPF) – Cálculo Darf e Declaração Anual – ReVar.pdf,2023-11-09|058-2023-VPC-Comunicado Externo.pdf
2023-11-09,059-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/31/60/A7/FF/A06BB810F2AB77B8AC094EA8/CE 059-2023-VPC Plataforma NoMe Atualização cadastral de emissores.pdf,2023-11-09|059-2023-VPC-Comunicado Externo.pdf
2023-11-09,186-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/0F/44/94/03/744BB810D8191BB8DC0D8AA8/OC 186-2023 PRE Novas Regras e Parâmetros para Procedimentos Especiais de Negociação (PT).pdf,2023-11-09|186-2023-PRE-Ofício Circular.pdf
2023-11-09,108-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/60/F7/D0/49/E05BB810F2AB77B8AC094EA8/CE 108-2023-VNC EntryPoint - Atualização das especificações técnicas para a funcionalidade Cancel on Behalf_PT.pdf,2023-11-09|108-2023-VNC-Comunicado Externo.pdf
2023-11-09,109-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/81/40/5E/CF/215BB810F2AB77B8AC094EA8/CE 109-2023-VNC Sessão Negociação Simulada PUMA Trading System_11-11-2023_PT.pdf,2023-11-09|109-2023-VNC-Comunicado Externo.pdf
2023-11-07,185-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/D7/C3/98/CC/20BAB810E97E07B8DC0D8AA8/OC 185-2023 PRE Novo Serviço de Conectividade OE binario e RFQ (PT).pdf,2023-11-07|185-2023-PRE-Ofício Circular.pdf
2023-11-07,183-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/F5/63/F0/85/6F9AB810E97E07B8DC0D8AA8/OC 183-2023 PRE  Programa FM Contratos Futuros de Taxas de Câmbio Referenciados em Dólar (PT).pdf,2023-11-07|183-2023-PRE-Ofício Circular.pdf
2023-11-07,105-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/29/32/4E/D7/7EAAB810F2AB77B8AC094EA8/CE 105-2023-VNC Comunicado Externo_Trademate - Porta_PT.pdf,2023-11-07|105-2023-VNC-Comunicado Externo.pdf
2023-11-07,184-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/49/37/82/51/CF9AB810E97E07B8DC0D8AA8/OC 184-2023 PRE Alterações no Marisco e Reg. - Aceitação de EURO em Garantias (PT).pdf,2023-11-07|184-2023-PRE-Ofício Circular.pdf
