data_publicada,titulo_publicado,url,nome_arquivo,responsavel,passagem_1,passagem_2,passagem_3,passagem_4,passagem_5,qtde_tokens_pass_1,qtde_tokens_pass_2,qtde_tokens_pass_3,qtde_tokens_pass_4,qtde_tokens_pass_5,qtde_total_tokens
2023-11-09,187-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/73/E7/C5/27/2D5BB810D8191BB8DC0D8AA8/OC 187-2023 PRE Alteração na Regra de Cadastro Automático de Vencimentos de DAP (PT).pdf,2023-11-09|187-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-11-09,107-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/78/67/00/8C/C05BB810F2AB77B8AC094EA8/CE 107-2023-VNC Lançamento das sessões de Renda Fixa Trademate_PT.pdf,2023-11-09|107-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-11-09,058-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/43/00/01/01/906BB810F2AB77B8AC094EA8/CE 058-2023-VPC Imposto de Renda da Pessoa Física (IRPF) – Cálculo Darf e Declaração Anual – ReVar.pdf,2023-11-09|058-2023-VPC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-11-09,186-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/0F/44/94/03/744BB810D8191BB8DC0D8AA8/OC 186-2023 PRE Novas Regras e Parâmetros para Procedimentos Especiais de Negociação (PT).pdf,2023-11-09|186-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-11-09,108-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/60/F7/D0/49/E05BB810F2AB77B8AC094EA8/CE 108-2023-VNC EntryPoint - Atualização das especificações técnicas para a funcionalidade Cancel on Behalf_PT.pdf,2023-11-09|108-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-11-07,185-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/D7/C3/98/CC/20BAB810E97E07B8DC0D8AA8/OC 185-2023 PRE Novo Serviço de Conectividade OE binario e RFQ (PT).pdf,2023-11-07|185-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-11-07,105-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/29/32/4E/D7/7EAAB810F2AB77B8AC094EA8/CE 105-2023-VNC Comunicado Externo_Trademate - Porta_PT.pdf,2023-11-07|105-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-10-31,175-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/09/A7/30/5F/CB68B810E97E07B8DC0D8AA8/OC 175-2023 PRE Lançamento do Gateway Binário (Binary EntryPoint) (PT).pdf,2023-10-31|175-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-10-31,177-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/23/12/11/E3/2878B810E97E07B8DC0D8AA8/OC 177-2023 PRE  Alocação de grandes lotes (PT).pdf,2023-10-31|177-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-10-26,172-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/CE/25/DF/45/34C6B8108BB545B8DC0D8AA8/OC 172-2023 PRE SINQIA_Combinação (PT).pdf,2023-10-26|172-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
